bjd,mnvel,errvel
2458780.8476184164,171.618044580857,5.61174774169922
2458780.8530930444,167.662993167866,5.45519495010376
2458780.8585525765,152.626667735287,5.44327783584595
2458780.8640201758,163.183355554189,5.14220905303955
2458780.875389639,143.978858567553,5.22968053817749
2458780.8807635233,167.933274070627,5.21155261993408
2458780.910430926,128.397582497293,5.17594957351685
2458780.915750079,108.337790497899,5.02170324325562
2458780.921033095,120.67608157612801,5.51827192306519
2458780.926336736,102.338343950623,5.223750591278081
2458780.93153384,100.46321784493901,5.07966756820679
2458780.9367032014,89.0429624340173,5.35610151290894
2458780.941825757,98.790006945443,4.79678726196289
2458780.9469022756,88.0810927542752,5.3077073097229
2458780.9520002105,90.683082938026,4.76351499557495
2458780.9571994697,130.839310706924,4.96779441833496
2458780.962520808,130.772182949844,5.292981147766111
2458780.967694454,153.497789206697,5.17779350280762
2458780.9727541273,156.81049042303002,5.28225231170654
2458780.9779550256,136.732434674169,4.9997701644897505
2458780.983472581,122.89141717174,5.057726860046389
2458780.9890641505,122.897682293734,4.917755126953121
2458780.99458875,101.866955993452,5.1169104576110795
2458781.000025924,111.132192634525,5.14497756958008
2458781.005725324,103.120883357087,5.05070447921753
2458781.010348308,70.76351855679029,6.47053623199463
2458781.0199321667,86.12120066601591,5.00035333633423
2458781.0256065484,79.9551121078405,5.22196483612061
2458781.0311922478,62.728065545852004,4.7383322715759295
2458781.03662097,31.2854159745567,5.20538997650146
2458781.041829655,47.6803855968765,5.3912663459777805
2458781.046935634,45.0943940412102,5.10297346115112
2458781.052105972,6.281117142521389,5.28917551040649
2458781.057436065,14.9356537604534,5.43431091308594
2458781.062906454,7.7940084213928,4.76982259750366
2458781.0684292754,-13.305557258052099,4.97320222854614
2458781.074007697,-1.1824923847013897,5.17714262008667
2458781.0794225624,-19.098142371338998,5.114826679229741
2458781.0846470995,-12.484808245539599,5.35586166381836
2458781.089958646,-40.5163954535349,5.344333171844481
2458781.095357852,-55.961853224074794,5.0556468963623
2458781.1006376552,-43.757363137723,5.15646648406982
2458781.10586981,-72.2041452370316,5.76562070846558
2458781.1111683818,-65.6493947681661,5.13295459747314
2458781.116304127,-68.4140476114941,5.62076807022095
2458781.121309586,-99.42577191738329,5.07265567779541
2458781.1262773126,-86.50800310331579,5.2357120513916
2458781.131237493,-96.21848654300508,5.429424285888669
2458781.1361950347,-99.6740643497012,5.13998699188232
2458781.141166255,-112.124426927199,5.40414667129517
2458781.146116141,-115.805948298922,5.375328540801999
2458781.15103406,-106.947525480028,4.79712390899658
