,mean,sd,hdi_3%,hdi_97%
period,24.141341,2.3e-05,24.141298,24.141385
t0,-0.005427,0.001296,-0.008042,-0.00312
mean_spitz,0.05099,0.045369,-0.040393,0.130696
mean_hires,18.987301,49.738921,-73.903162,112.310676
log_sigma_rot,5.525917,0.533075,4.570491,6.539672
log_Q0,7.653119,6.47333,-1.751409,19.965029
log_dQ,1.992887,9.89317,-18.069609,19.414746
m_star,1.135137,0.047457,1.050452,1.228125
r_star,1.406925,0.017623,1.375033,1.44103
ror,0.071998,0.000618,0.070847,0.073131
r_pl,0.101299,0.001741,0.098007,0.104594
b,0.563932,0.025827,0.51535,0.61304
u_star[0],0.543535,0.229406,0.093268,0.92534
u_star[1],-0.027872,0.27278,-0.473508,0.47305
u_star_ir[0],0.557989,0.144027,0.269669,0.793776
u_star_ir[1],-0.146108,0.178718,-0.398195,0.202637
logjit_spitz,-5.941533,2.281926,-9.75912,-2.198497
jit_spitz,0.018285,0.034184,4.5e-05,0.090028
err_spitz,0.601238,0.004007,0.6,0.606717
vsini,24.773362,0.192412,24.404368,25.121604
cosi_st,0.084929,0.06184,1.5e-05,0.196491
sini_st,0.99444,0.007218,0.980506,1.0
i_st,85.116718,3.57073,78.668164,89.999141
veq,24.913143,0.261552,24.441452,25.410837
a_r,26.061543,0.46491,25.136114,26.873247
cosi_pl,0.021661,0.001346,0.01901,0.02409
i_pl_deg,88.758813,0.077128,88.619594,88.910723
obliquity_rad,0.13843,0.268435,-0.23458,0.73901
obliquity,7.931429,15.380195,-13.440442,42.342126
f,0.570509,0.248699,0.173215,0.999639
